X,Index,CHEMBL_ID,PUBCHEM_CID,IUPAC_Name,Original_SMILES,Original_InChi,Original_InChiKey,DSSTOX_SUBSTANCE_ID,CASRN,PREFERRED_NAME,Canonical_QSARr,InChI_Code_QSARr,InChIKey_QSARr,Salt_Solvent,Salt_Solvent_ID,QC_Level,CalculatedLogPapp,PappClass,Source,tr_tst,outliers,Envi.Che_CERAPP,Envi.Che_COMPARA,Envi.Che_CPDAT,Envi.Che_REFCHEMDB,Envi.Che_TSCA_ACTIVE_NCTI,overlap.lable
29,Caco-1200,?,?,NA,NC1NC2NCC(CNC3C=CC(=CC=3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N(C=O)C=2C(=O)N=1,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,23,25,26,32)/t12?,13-/m0/s1",VVIAGPKUTFNRDU-ABLWVSNPSA-N,DTXSID0048216|DTXSID30859023,58-05-9|22350-60-3,folinic acid,NC1NC2=NCC(CNC3C=CC(=CC=3)C(=O)NC(CCC(O)=O)C(O)=O)N(C=O)C2C(=O)N=1,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,15,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H3,21,23,25,26,32)",AFFDJSNPCNCZFO-UHFFFAOYSA-N,<undefined>,0,High,-7.52215885,1,Wang,1,1,N,N,Y,Y,N,N&N&Y&Y&N
30,Caco-1613,CHEMBL702,?,NA,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C1C=CC=CC=1)C(=O)N[C@H]1[C@H]2SC(C)(C)[C@H](C(O)=O)N2C1=O,"InChI=1S/C23H27N5O7S/c1-4-26-10-11-27(19(32)18(26)31)22(35)25-13(12-8-6-5-7-9-12)16(29)24-14-17(30)28-15(21(33)34)23(2,3)36-20(14)28/h5-9,13-15,20H,4,10-11H2,1-3H3,(H,24,29)(H,25,35)(H,33,34)/t13-,14-,15+,20-/m1/s1",IVBHGBMCVLDMKU-GXNBUGAJSA-N,DTXSID2023482,61477-96-1,Piperacillin,CCN1CCN(C(=O)C1=O)C(=O)NC(C1C=CC=CC=1)C(=O)NC1C2SC(C)(C)C(C(O)=O)N2C1=O,"InChI=1S/C23H27N5O7S/c1-4-26-10-11-27(19(32)18(26)31)22(35)25-13(12-8-6-5-7-9-12)16(29)24-14-17(30)28-15(21(33)34)23(2,3)36-20(14)28/h5-9,13-15,20H,4,10-11H2,1-3H3,(H,24,29)(H,25,35)(H,33,34)",IVBHGBMCVLDMKU-UHFFFAOYSA-N,<undefined>,NA,High,-7.488116639,1,CHEMBL,1,0,N,Y,Y,Y,N,N&Y&Y&Y&N
41,Caco-1627,CHEMBL666,?,NA,OC(=O)P(O)(O)=O,"InChI=1S/CH3O5P/c2-1(3)7(4,5)6/h(H,2,3)(H2,4,5,6)",ZJAOAACCNHFJAH-UHFFFAOYSA-N,DTXSID0048478,4428-95-9,Foscarnet,OC(=O)P(O)(O)=O,"InChI=1S/CH3O5P/c2-1(3)7(4,5)6/h(H,2,3)(H2,4,5,6)",ZJAOAACCNHFJAH-UHFFFAOYSA-N,<undefined>,NA,High,-7.366531544,1,CHEMBL,1,1,Y,Y,N,Y,N,Y&Y&N&Y&N
44,Caco-1631,CHEMBL603717|?,?,NA,O[C@H]1[C@H](O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,"InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16+,17-,18+/m1/s1",MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,DTXSID8041111,512-69-6,Raffinose,OC1C(OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1O)OC1(CO)OC(CO)C(O)C1O,"InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2",MUPFEKGTMRGPLJ-UHFFFAOYSA-N,<undefined>,0,High,-7.31,1,CHEMBL|Wang|Pham,1,1,N,Y,Y,N,Y,N&Y&Y&N&Y
45,Caco-863,?,?,NA,C[C@@H](N=C(O)[C@@H](N)CC1C=CC(O)=CC=1)C(O)=NCC(O)=N[C@@H](CC1C=CC=CC=1)C(=O)N=C(O)[C@H](CCSC)NC,"InChI=1S/C29H40N6O6S/c1-18(33-27(39)22(30)15-20-9-11-21(36)12-10-20)26(38)32-17-25(37)34-24(16-19-7-5-4-6-8-19)29(41)35-28(40)23(31-2)13-14-42-3/h4-12,18,22-24,31,36H,13-17,30H2,1-3H3,(H,32,38)(H,33,39)(H,34,37)(H,35,40,41)/t18-,22+,23+,24+/m1/s1",SVEWNGAVTOVJOT-JMBSJVKXSA-N,DTXSID30985694,66960-34-7,metkefamide,CC(N=C(O)C(N)CC1C=CC(O)=CC=1)C(O)=NCC(O)=NC(CC1C=CC=CC=1)C(=O)N=C(O)C(CCSC)NC,"InChI=1S/C29H40N6O6S/c1-18(33-27(39)22(30)15-20-9-11-21(36)12-10-20)26(38)32-17-25(37)34-24(16-19-7-5-4-6-8-19)29(41)35-28(40)23(31-2)13-14-42-3/h4-12,18,22-24,31,36H,13-17,30H2,1-3H3,(H,32,38)(H,33,39)(H,34,37)(H,35,40,41)",SVEWNGAVTOVJOT-UHFFFAOYSA-N,<undefined>,0,High,-7.3099999,1,Wang,1,1,N,N,Y,N,N,N&N&Y&N&N
47,Caco-1639,CHEMBL834,?,NA,NCCC(O)(P(O)(O)=O)P(O)(O)=O,"InChI=1S/C3H11NO7P2/c4-2-1-3(5,12(6,7)8)13(9,10)11/h5H,1-2,4H2,(H2,6,7,8)(H2,9,10,11)",WRUUGTRCQOWXEG-UHFFFAOYSA-N,DTXSID4023414,40391-99-9,Pamidronic acid,NCCC(O)(P(O)(O)=O)P(O)(O)=O,"InChI=1S/C3H11NO7P2/c4-2-1-3(5,12(6,7)8)13(9,10)11/h5H,1-2,4H2,(H2,6,7,8)(H2,9,10,11)",WRUUGTRCQOWXEG-UHFFFAOYSA-N,<undefined>,NA,High,-7.301029996,1,CHEMBL,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
54,Caco-1642,CHEMBL12318,?,NA,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,"InChI=1S/CH4Cl2O6P2/c2-1(3,10(4,5)6)11(7,8)9/h(H2,4,5,6)(H2,7,8,9)",ACSIXWWBWUQEHA-UHFFFAOYSA-N,DTXSID8046959,10596-23-3,Clodronic acid,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,"InChI=1S/CH4Cl2O6P2/c2-1(3,10(4,5)6)11(7,8)9/h(H2,4,5,6)(H2,7,8,9)",ACSIXWWBWUQEHA-UHFFFAOYSA-N,<undefined>,NA,High,-7.229147988,1,CHEMBL,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
55,Caco-1648,CHEMBL870,?,NA,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,"InChI=1S/C4H13NO7P2/c5-3-1-2-4(6,13(7,8)9)14(10,11)12/h6H,1-3,5H2,(H2,7,8,9)(H2,10,11,12)",OGSPWJRAVKPPFI-UHFFFAOYSA-N,DTXSID5022568,66376-36-1,Alendronic Acid,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,"InChI=1S/C4H13NO7P2/c5-3-1-2-4(6,13(7,8)9)14(10,11)12/h6H,1-3,5H2,(H2,7,8,9)(H2,10,11,12)",OGSPWJRAVKPPFI-UHFFFAOYSA-N,<undefined>,NA,High,-7.22184875,1,CHEMBL,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
60,Caco-1650,CHEMBL333357,?,NA,NC(=O)[C@H](CC1C=CC=CC=1)NC(=O)[C@H](CC1C=CC=CC=1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CC1C=CC(O)=CC=1,"InChI=1S/C32H37N5O5/c33-25(18-23-13-15-24(38)16-14-23)32(42)37-17-7-12-28(37)31(41)36-27(20-22-10-5-2-6-11-22)30(40)35-26(29(34)39)19-21-8-3-1-4-9-21/h1-6,8-11,13-16,25-28,38H,7,12,17-20,33H2,(H2,34,39)(H,35,40)(H,36,41)/t25-,26-,27-,28-/m0/s1",XIJHWXXXIMEHKW-LJWNLINESA-N,DTXSID70415506,141801-26-5,Endomorphin 2,NC(=O)C(CC1C=CC=CC=1)NC(=O)C(CC1C=CC=CC=1)NC(=O)C1CCCN1C(=O)C(N)CC1C=CC(O)=CC=1,"InChI=1S/C32H37N5O5/c33-25(18-23-13-15-24(38)16-14-23)32(42)37-17-7-12-28(37)31(41)36-27(20-22-10-5-2-6-11-22)30(40)35-26(29(34)39)19-21-8-3-1-4-9-21/h1-6,8-11,13-16,25-28,38H,7,12,17-20,33H2,(H2,34,39)(H,35,40)(H,36,41)",XIJHWXXXIMEHKW-UHFFFAOYSA-N,<undefined>,NA,High,-7.191789027,1,CHEMBL,1,1,N,N,Y,Y,N,N&N&Y&Y&N
68,Caco-1274,?,?,NA,C[C@@H](O)[C@@H](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,"InChI=1S/C18H34N2O6S/c1-5-6-10-7-11(20(3)8-10)17(25)19-12(9(2)21)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,21-24H,5-8H2,1-4H3,(H,19,25)/t9-,10-,11+,12-,13+,14-,15-,16-,18-/m1/s1",OJMMVQQUTAEWLP-KIDUDLJLSA-N,DTXSID3023215,154-21-2,lincomycin,CC(O)C(NC(=O)C1CC(CCC)CN1C)C1OC(SC)C(O)C(O)C1O,"InChI=1S/C18H34N2O6S/c1-5-6-10-7-11(20(3)8-10)17(25)19-12(9(2)21)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,21-24H,5-8H2,1-4H3,(H,19,25)",OJMMVQQUTAEWLP-UHFFFAOYSA-N,<undefined>,0,High,-7.08862345,1,Wang|Pham,1,0,N,Y,Y,Y,N,N&Y&Y&Y&N
